Name,BO_Year,BOMojoFilmURL,Duration
Terminator 2: Judgment Day,1991,https://www.boxofficemojo.com/release/rl3396699649/,2 hr 17 min
Robin Hood: Prince of Thieves,1991,https://www.boxofficemojo.com/release/rl1567393281/,2 hr 23 min
Home Alone,1991,https://www.boxofficemojo.com/release/rl3629745665/,1 hr 43 min
The Silence of the Lambs,1991,https://www.boxofficemojo.com/release/rl1500612097/,1 hr 58 min
City Slickers,1991,https://www.boxofficemojo.com/release/rl3393947137/,1 hr 53 min
Dances with Wolves,1991,https://www.boxofficemojo.com/release/rl944539137/,3 hr 1 min
Sleeping with the Enemy,1991,https://www.boxofficemojo.com/release/rl3429991937/,1 hr 39 min
The Addams Family,1991,https://www.boxofficemojo.com/release/rl1749059073/,1 hr 39 min
The Naked Gun 2½: The Smell of Fear,1991,https://www.boxofficemojo.com/release/rl2976155137/,1 hr 25 min
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,https://www.boxofficemojo.com/release/rl3497297409/,1 hr 28 min
Backdraft,1991,https://www.boxofficemojo.com/release/rl1933936129/,2 hr 17 min
Hot Shots!,1991,https://www.boxofficemojo.com/release/rl2019067393/,1 hr 24 min
Beauty and the Beast,1991,https://www.boxofficemojo.com/release/rl4490753/,1 hr 24 min
Hook,1991,https://www.boxofficemojo.com/release/rl911771137/,2 hr 22 min
What About Bob?,1991,https://www.boxofficemojo.com/release/rl2222491137/,1 hr 39 min
Kindergarten Cop,1991,https://www.boxofficemojo.com/release/rl1516013057/,1 hr 51 min
One Hundred and One Dalmatians,1991,https://www.boxofficemojo.com/release/rl859932161/,1 hr 19 min
Cape Fear,1991,https://www.boxofficemojo.com/release/rl2051573249/,2 hr 8 min
Boyz n the Hood,1991,https://www.boxofficemojo.com/release/rl3779495425/,1 hr 52 min
Doc Hollywood,1991,https://www.boxofficemojo.com/release/rl3494872577/,1 hr 44 min
Batman Returns,1992,https://www.boxofficemojo.com/release/rl3544548865/,2 hr 6 min
Lethal Weapon 3,1992,https://www.boxofficemojo.com/release/rl1616807425/,1 hr 58 min
Sister Act,1992,https://www.boxofficemojo.com/release/rl2456913409/,1 hr 40 min
Home Alone 2: Lost in New York,1992,https://www.boxofficemojo.com/release/rl3881403905/,2 hr
Wayne's World,1992,https://www.boxofficemojo.com/release/rl3245966849/,1 hr 34 min
Basic Instinct,1992,https://www.boxofficemojo.com/release/rl3997533697/,2 hr 7 min
A League of Their Own,1992,https://www.boxofficemojo.com/release/rl3529475585/,2 hr 8 min
Aladdin,1992,https://www.boxofficemojo.com/release/rl4148200961/,1 hr 30 min
The Hand That Rocks the Cradle,1992,https://www.boxofficemojo.com/release/rl777422337/,1 hr 50 min
Under Siege,1992,https://www.boxofficemojo.com/release/rl4185294337/,1 hr 43 min
Patriot Games,1992,https://www.boxofficemojo.com/release/rl3479799297/,1 hr 57 min
Bram Stoker's Dracula,1992,https://www.boxofficemojo.com/release/rl1582204417/,2 hr 8 min
The Bodyguard,1992,https://www.boxofficemojo.com/release/rl1967556097/,2 hr 9 min
White Men Can't Jump,1992,https://www.boxofficemojo.com/release/rl477857281/,1 hr 55 min
Fried Green Tomatoes,1992,https://www.boxofficemojo.com/release/rl1045792257/,2 hr 10 min
The Last of the Mohicans,1992,https://www.boxofficemojo.com/release/rl2875164161/,1 hr 52 min
Unforgiven,1992,https://www.boxofficemojo.com/release/rl4118185473/,2 hr 10 min
Beauty and the Beast,1992,https://www.boxofficemojo.com/release/rl4490753/,1 hr 24 min
Boomerang,1992,https://www.boxofficemojo.com/release/rl3141961217/,1 hr 57 min
A Few Good Men,1992,https://www.boxofficemojo.com/release/rl1666418177/,2 hr 18 min
Jurassic Park,1993,https://www.boxofficemojo.com/release/rl2354939393/,2 hr 7 min
The Fugitive,1993,https://www.boxofficemojo.com/release/rl206931457/,2 hr 10 min
The Firm,1993,https://www.boxofficemojo.com/release/rl2186511873/,2 hr 34 min
Sleepless in Seattle,1993,https://www.boxofficemojo.com/release/rl3597764097/,1 hr 45 min
Mrs. Doubtfire,1993,https://www.boxofficemojo.com/release/rl2085520897/,2 hr 5 min
Indecent Proposal,1993,https://www.boxofficemojo.com/release/rl2640020993/,1 hr 57 min
In the Line of Fire,1993,https://www.boxofficemojo.com/release/rl3881731585/,2 hr 8 min
Aladdin,1993,https://www.boxofficemojo.com/release/rl4148200961/,1 hr 30 min
Cliffhanger,1993,https://www.boxofficemojo.com/release/rl608863745/,1 hr 53 min
A Few Good Men,1993,https://www.boxofficemojo.com/release/rl1666418177/,2 hr 18 min
Free Willy,1993,https://www.boxofficemojo.com/release/rl3696395777/,1 hr 52 min
Groundhog Day,1993,https://www.boxofficemojo.com/release/rl2723644929/,1 hr 41 min
Dave,1993,https://www.boxofficemojo.com/release/rl1766622721/,1 hr 50 min
Rising Sun,1993,https://www.boxofficemojo.com/release/rl7112193/,2 hr 5 min
Scent of a Woman,1993,https://www.boxofficemojo.com/release/rl3933177345/,2 hr 36 min
Cool Runnings,1993,https://www.boxofficemojo.com/release/rl894273025/,1 hr 38 min
The Crying Game,1993,https://www.boxofficemojo.com/release/rl2337113601/,1 hr 52 min
Demolition Man,1993,https://www.boxofficemojo.com/release/rl407864833/,1 hr 55 min
Rookie of the Year,1993,https://www.boxofficemojo.com/release/rl2238481921/,1 hr 43 min
Dennis the Menace,1993,https://www.boxofficemojo.com/release/rl474973697/,1 hr 34 min
The Lion King,1994,https://www.boxofficemojo.com/release/rl3730736641/,1 hr 28 min
Forrest Gump,1994,https://www.boxofficemojo.com/release/rl1314031105/,2 hr 22 min
True Lies,1994,https://www.boxofficemojo.com/release/rl3614934529/,2 hr 21 min
The Santa Clause,1994,https://www.boxofficemojo.com/release/rl1131382273/,1 hr 37 min
The Flintstones,1994,https://www.boxofficemojo.com/release/rl676496897/,1 hr 31 min
Clear and Present Danger,1994,https://www.boxofficemojo.com/release/rl709527041/,2 hr 21 min
Speed,1994,https://www.boxofficemojo.com/release/rl3295708673/,1 hr 56 min
The Mask,1994,https://www.boxofficemojo.com/release/rl359958017/,1 hr 41 min
Mrs. Doubtfire,1994,https://www.boxofficemojo.com/release/rl2085520897/,2 hr 5 min
Interview with the Vampire: The Vampire Chronicles,1994,https://www.boxofficemojo.com/release/rl576357889/,2 hr 3 min
Maverick,1994,https://www.boxofficemojo.com/release/rl4066608641/,2 hr 7 min
